site_code year month day hour minute second latitude longitude altitude_final type_altitude year_end month_end day_end hour_end minute_end second_end
ABT 2020 05 09 23 00 00 49.0114 -122.3353 33 0 2020 05 10 00 00 00
ABT 2020 05 10 23 00 00 49.0114 -122.3353 33 0 2020 05 11 00 00 00
ABT 2020 05 11 23 00 00 49.0114 -122.3353 33 0 2020 05 12 00 00 00
ABT 2020 05 12 23 00 00 49.0114 -122.3353 33 0 2020 05 13 00 00 00
ABT 2020 05 13 23 00 00 49.0114 -122.3353 33 0 2020 05 14 00 00 00
ABT 2020 05 14 23 00 00 49.0114 -122.3353 33 0 2020 05 15 00 00 00
ABT 2020 05 15 23 00 00 49.0114 -122.3353 33 0 2020 05 16 00 00 00
ABT 2020 05 16 23 00 00 49.0114 -122.3353 33 0 2020 05 17 00 00 00
ABT 2020 05 17 23 00 00 49.0114 -122.3353 33 0 2020 05 18 00 00 00
ABT 2020 05 18 23 00 00 49.0114 -122.3353 33 0 2020 05 19 00 00 00
ABT 2020 05 19 23 00 00 49.0114 -122.3353 33 0 2020 05 20 00 00 00
ABT 2020 05 20 23 00 00 49.0114 -122.3353 33 0 2020 05 21 00 00 00
ABT 2020 05 21 23 00 00 49.0114 -122.3353 33 0 2020 05 22 00 00 00
ABT 2020 05 22 23 00 00 49.0114 -122.3353 33 0 2020 05 23 00 00 00
ABT 2020 05 23 23 00 00 49.0114 -122.3353 33 0 2020 05 24 00 00 00
ABT 2020 05 24 23 00 00 49.0114 -122.3353 33 0 2020 05 25 00 00 00
ABT 2020 05 25 23 00 00 49.0114 -122.3353 33 0 2020 05 26 00 00 00
ABT 2020 05 26 23 00 00 49.0114 -122.3353 33 0 2020 05 27 00 00 00
ABT 2020 05 27 23 00 00 49.0114 -122.3353 33 0 2020 05 28 00 00 00
ABT 2020 05 28 23 00 00 49.0114 -122.3353 33 0 2020 05 29 00 00 00
ABT 2020 05 29 23 00 00 49.0114 -122.3353 33 0 2020 05 30 00 00 00
ABT 2020 05 30 23 00 00 49.0114 -122.3353 33 0 2020 05 31 00 00 00
ABT 2020 05 31 23 00 00 49.0114 -122.3353 33 0 2020 06 01 00 00 00
ABT 2020 06 01 23 00 00 49.0114 -122.3353 33 0 2020 06 02 00 00 00
ABT 2020 06 02 23 00 00 49.0114 -122.3353 33 0 2020 06 03 00 00 00
ABT 2020 06 03 23 00 00 49.0114 -122.3353 33 0 2020 06 04 00 00 00
ABT 2020 06 04 23 00 00 49.0114 -122.3353 33 0 2020 06 05 00 00 00
ABT 2020 06 05 23 00 00 49.0114 -122.3353 33 0 2020 06 06 00 00 00
ABT 2020 06 06 23 00 00 49.0114 -122.3353 33 0 2020 06 07 00 00 00
ABT 2020 06 07 23 00 00 49.0114 -122.3353 33 0 2020 06 08 00 00 00
ABT 2020 06 08 23 00 00 49.0114 -122.3353 33 0 2020 06 09 00 00 00
ABT 2020 06 09 23 00 00 49.0114 -122.3353 33 0 2020 06 10 00 00 00
ABT 2020 06 10 23 00 00 49.0114 -122.3353 33 0 2020 06 11 00 00 00
ABT 2020 06 11 23 00 00 49.0114 -122.3353 33 0 2020 06 12 00 00 00
ABT 2020 06 12 23 00 00 49.0114 -122.3353 33 0 2020 06 13 00 00 00
ABT 2020 06 13 23 00 00 49.0114 -122.3353 33 0 2020 06 14 00 00 00
ABT 2020 06 14 23 00 00 49.0114 -122.3353 33 0 2020 06 15 00 00 00
ABT 2020 06 15 23 00 00 49.0114 -122.3353 33 0 2020 06 16 00 00 00
ABT 2020 06 16 23 00 00 49.0114 -122.3353 33 0 2020 06 17 00 00 00
ABT 2020 06 17 23 00 00 49.0114 -122.3353 33 0 2020 06 18 00 00 00
ABT 2020 06 18 23 00 00 49.0114 -122.3353 33 0 2020 06 19 00 00 00
ABT 2020 06 19 23 00 00 49.0114 -122.3353 33 0 2020 06 20 00 00 00
ABT 2020 06 20 23 00 00 49.0114 -122.3353 33 0 2020 06 21 00 00 00
ABT 2020 06 21 23 00 00 49.0114 -122.3353 33 0 2020 06 22 00 00 00
ABT 2020 06 22 23 00 00 49.0114 -122.3353 33 0 2020 06 23 00 00 00
ABT 2020 06 23 23 00 00 49.0114 -122.3353 33 0 2020 06 24 00 00 00
ABT 2020 06 24 23 00 00 49.0114 -122.3353 33 0 2020 06 25 00 00 00
ABT 2020 06 25 23 00 00 49.0114 -122.3353 33 0 2020 06 26 00 00 00
ABT 2020 06 26 23 00 00 49.0114 -122.3353 33 0 2020 06 27 00 00 00
ABT 2020 06 27 23 00 00 49.0114 -122.3353 33 0 2020 06 28 00 00 00
ABT 2020 06 28 23 00 00 49.0114 -122.3353 33 0 2020 06 29 00 00 00
ABT 2020 06 29 23 00 00 49.0114 -122.3353 33 0 2020 06 30 00 00 00
ABT 2020 06 30 23 00 00 49.0114 -122.3353 33 0 2020 07 01 00 00 00
ABT 2020 07 01 23 00 00 49.0114 -122.3353 33 0 2020 07 02 00 00 00
ABT 2020 07 02 23 00 00 49.0114 -122.3353 33 0 2020 07 03 00 00 00
ABT 2020 07 03 23 00 00 49.0114 -122.3353 33 0 2020 07 04 00 00 00
ABT 2020 07 04 23 00 00 49.0114 -122.3353 33 0 2020 07 05 00 00 00
ABT 2020 07 05 23 00 00 49.0114 -122.3353 33 0 2020 07 06 00 00 00
ABT 2020 07 06 23 00 00 49.0114 -122.3353 33 0 2020 07 07 00 00 00
ABT 2020 07 07 23 00 00 49.0114 -122.3353 33 0 2020 07 08 00 00 00
ABT 2020 07 08 23 00 00 49.0114 -122.3353 33 0 2020 07 09 00 00 00
ABT 2020 07 09 23 00 00 49.0114 -122.3353 33 0 2020 07 10 00 00 00
ABT 2020 07 10 23 00 00 49.0114 -122.3353 33 0 2020 07 11 00 00 00
ABT 2020 07 11 23 00 00 49.0114 -122.3353 33 0 2020 07 12 00 00 00
ABT 2020 07 12 23 00 00 49.0114 -122.3353 33 0 2020 07 13 00 00 00
ABT 2020 07 13 23 00 00 49.0114 -122.3353 33 0 2020 07 14 00 00 00
ABT 2020 07 14 23 00 00 49.0114 -122.3353 33 0 2020 07 15 00 00 00
ABT 2020 07 15 23 00 00 49.0114 -122.3353 33 0 2020 07 16 00 00 00
ABT 2020 07 16 23 00 00 49.0114 -122.3353 33 0 2020 07 17 00 00 00
ABT 2020 07 17 23 00 00 49.0114 -122.3353 33 0 2020 07 18 00 00 00
ABT 2020 07 18 23 00 00 49.0114 -122.3353 33 0 2020 07 19 00 00 00
ABT 2020 07 19 23 00 00 49.0114 -122.3353 33 0 2020 07 20 00 00 00
ABT 2020 07 20 23 00 00 49.0114 -122.3353 33 0 2020 07 21 00 00 00
ABT 2020 07 21 23 00 00 49.0114 -122.3353 33 0 2020 07 22 00 00 00
ABT 2020 07 22 23 00 00 49.0114 -122.3353 33 0 2020 07 23 00 00 00
ABT 2020 07 23 23 00 00 49.0114 -122.3353 33 0 2020 07 24 00 00 00
ABT 2020 07 24 23 00 00 49.0114 -122.3353 33 0 2020 07 25 00 00 00
ABT 2020 07 25 23 00 00 49.0114 -122.3353 33 0 2020 07 26 00 00 00
ABT 2020 07 26 23 00 00 49.0114 -122.3353 33 0 2020 07 27 00 00 00
ABT 2020 07 27 23 00 00 49.0114 -122.3353 33 0 2020 07 28 00 00 00
ABT 2020 07 28 23 00 00 49.0114 -122.3353 33 0 2020 07 29 00 00 00
ABT 2020 07 29 23 00 00 49.0114 -122.3353 33 0 2020 07 30 00 00 00
ABT 2020 07 30 23 00 00 49.0114 -122.3353 33 0 2020 07 31 00 00 00
ABT 2020 07 31 23 00 00 49.0114 -122.3353 33 0 2020 08 01 00 00 00
ABT 2020 08 01 23 00 00 49.0114 -122.3353 33 0 2020 08 02 00 00 00
ABT 2020 08 02 23 00 00 49.0114 -122.3353 33 0 2020 08 03 00 00 00
ABT 2020 08 03 23 00 00 49.0114 -122.3353 33 0 2020 08 04 00 00 00
ABT 2020 08 04 23 00 00 49.0114 -122.3353 33 0 2020 08 05 00 00 00
ABT 2020 08 05 23 00 00 49.0114 -122.3353 33 0 2020 08 06 00 00 00
ABT 2020 08 06 23 00 00 49.0114 -122.3353 33 0 2020 08 07 00 00 00
ABT 2020 08 07 23 00 00 49.0114 -122.3353 33 0 2020 08 08 00 00 00
ABT 2020 08 08 23 00 00 49.0114 -122.3353 33 0 2020 08 09 00 00 00
ABT 2020 08 09 23 00 00 49.0114 -122.3353 33 0 2020 08 10 00 00 00
ABT 2020 08 10 23 00 00 49.0114 -122.3353 33 0 2020 08 11 00 00 00
ABT 2020 08 11 23 00 00 49.0114 -122.3353 33 0 2020 08 12 00 00 00
ABT 2020 08 12 23 00 00 49.0114 -122.3353 33 0 2020 08 13 00 00 00
ABT 2020 08 13 23 00 00 49.0114 -122.3353 33 0 2020 08 14 00 00 00
ABT 2020 08 14 23 00 00 49.0114 -122.3353 33 0 2020 08 15 00 00 00
ABT 2020 08 15 23 00 00 49.0114 -122.3353 33 0 2020 08 16 00 00 00
ABT 2020 08 16 23 00 00 49.0114 -122.3353 33 0 2020 08 17 00 00 00
ABT 2020 08 17 23 00 00 49.0114 -122.3353 33 0 2020 08 18 00 00 00
ABT 2020 08 18 23 00 00 49.0114 -122.3353 33 0 2020 08 19 00 00 00
ABT 2020 08 19 23 00 00 49.0114 -122.3353 33 0 2020 08 20 00 00 00
ABT 2020 08 20 23 00 00 49.0114 -122.3353 33 0 2020 08 21 00 00 00
ABT 2020 08 21 23 00 00 49.0114 -122.3353 33 0 2020 08 22 00 00 00
ABT 2020 08 22 23 00 00 49.0114 -122.3353 33 0 2020 08 23 00 00 00
ABT 2020 08 23 23 00 00 49.0114 -122.3353 33 0 2020 08 24 00 00 00
ABT 2020 08 24 23 00 00 49.0114 -122.3353 33 0 2020 08 25 00 00 00
ABT 2020 08 25 23 00 00 49.0114 -122.3353 33 0 2020 08 26 00 00 00
ABT 2020 08 26 23 00 00 49.0114 -122.3353 33 0 2020 08 27 00 00 00
ABT 2020 08 27 23 00 00 49.0114 -122.3353 33 0 2020 08 28 00 00 00
ABT 2020 08 28 23 00 00 49.0114 -122.3353 33 0 2020 08 29 00 00 00
ABT 2020 08 29 23 00 00 49.0114 -122.3353 33 0 2020 08 30 00 00 00
ABT 2020 08 30 23 00 00 49.0114 -122.3353 33 0 2020 08 31 00 00 00
ABT 2020 08 31 23 00 00 49.0114 -122.3353 33 0 2020 09 01 00 00 00
ABT 2020 09 01 23 00 00 49.0114 -122.3353 33 0 2020 09 02 00 00 00
ABT 2020 09 02 23 00 00 49.0114 -122.3353 33 0 2020 09 03 00 00 00
ABT 2020 09 03 23 00 00 49.0114 -122.3353 33 0 2020 09 04 00 00 00
ABT 2020 09 04 23 00 00 49.0114 -122.3353 33 0 2020 09 05 00 00 00
ABT 2020 09 05 23 00 00 49.0114 -122.3353 33 0 2020 09 06 00 00 00
ABT 2020 09 06 23 00 00 49.0114 -122.3353 33 0 2020 09 07 00 00 00
ABT 2020 09 07 23 00 00 49.0114 -122.3353 33 0 2020 09 08 00 00 00
ABT 2020 09 08 23 00 00 49.0114 -122.3353 33 0 2020 09 09 00 00 00
ABT 2020 09 09 23 00 00 49.0114 -122.3353 33 0 2020 09 10 00 00 00
ABT 2020 09 10 23 00 00 49.0114 -122.3353 33 0 2020 09 11 00 00 00
ABT 2020 09 11 23 00 00 49.0114 -122.3353 33 0 2020 09 12 00 00 00
ABT 2020 09 12 23 00 00 49.0114 -122.3353 33 0 2020 09 13 00 00 00
ABT 2020 09 13 23 00 00 49.0114 -122.3353 33 0 2020 09 14 00 00 00
ABT 2020 09 14 23 00 00 49.0114 -122.3353 33 0 2020 09 15 00 00 00
ABT 2020 09 15 23 00 00 49.0114 -122.3353 33 0 2020 09 16 00 00 00
ABT 2020 09 16 23 00 00 49.0114 -122.3353 33 0 2020 09 17 00 00 00
ABT 2020 09 17 23 00 00 49.0114 -122.3353 33 0 2020 09 18 00 00 00
ABT 2020 09 18 23 00 00 49.0114 -122.3353 33 0 2020 09 19 00 00 00
ABT 2020 09 19 23 00 00 49.0114 -122.3353 33 0 2020 09 20 00 00 00
ABT 2020 09 20 23 00 00 49.0114 -122.3353 33 0 2020 09 21 00 00 00
ABT 2020 09 21 23 00 00 49.0114 -122.3353 33 0 2020 09 22 00 00 00
ABT 2020 09 22 23 00 00 49.0114 -122.3353 33 0 2020 09 23 00 00 00
ABT 2020 09 23 23 00 00 49.0114 -122.3353 33 0 2020 09 24 00 00 00
ABT 2020 09 24 23 00 00 49.0114 -122.3353 33 0 2020 09 25 00 00 00
ABT 2020 09 25 23 00 00 49.0114 -122.3353 33 0 2020 09 26 00 00 00
ABT 2020 09 26 23 00 00 49.0114 -122.3353 33 0 2020 09 27 00 00 00
ABT 2020 09 27 23 00 00 49.0114 -122.3353 33 0 2020 09 28 00 00 00
ABT 2020 09 28 23 00 00 49.0114 -122.3353 33 0 2020 09 29 00 00 00
ABT 2020 09 29 23 00 00 49.0114 -122.3353 33 0 2020 09 30 00 00 00
ABT 2020 09 30 23 00 00 49.0114 -122.3353 33 0 2020 10 01 00 00 00
ABT 2020 10 01 23 00 00 49.0114 -122.3353 33 0 2020 10 02 00 00 00
