site_code,year,month,day,hour,minute,second,time,start_time,midpoint_time,time_decimal,time_interval,value,value_std_dev,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag,analysis_datetime,method,event_number,air_sample_container_id,unique_sample_location_num,obs_flag,obs_num,obspack_num,name,sector,site_name,site_country,site_elevation,dataset_project,lab_1_abbr,dataset_calibration_scale,altitude_comment,site_utc2lst,agl,type_altitude,altitude_final,id,pressure,source_id,timeUTC,timeUTC_start,timeUTC_end,dif_time,time_warning,year_end,month_end,day_end,hour_end,minute_end,second_end,local_time,lh,max_altitude
MLO,2020,5,5,20,33,0,1588710780,1588710780,1588710780,2020.34386953552,3600,1.88023e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915159,1,1352,3751552,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-05 20:33:00,2020-05-05 20:33:00,2020-05-05 21:33:00,1,all good,2020,5,5,21,33,0,2020-05-05 10:33:00,10,40
MLO,2020,5,19,20,38,0,1589920680,1589920680,1589920680,2020.38213038859,3600,1.89469e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915160,1,1353,3751553,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-19 20:38:00,2020-05-19 20:38:00,2020-05-19 21:38:00,1,all good,2020,5,19,21,38,0,2020-05-19 10:38:00,10,40
MLO,2020,5,19,20,51,0,1589921460,1589921460,1589921460,2020.38215505464,3600,1.89514e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915161,1,1354,3751554,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-05-19 20:51:00,2020-05-19 20:51:00,2020-05-19 21:51:00,1,all good,2020,5,19,21,51,0,2020-05-19 10:51:00,10,40
MLO,2020,6,2,20,19,0,1591129140,1591129140,1591129140,2020.42034570431,3600,1.88376e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915162,1,1355,3751555,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-02 20:19:00,2020-06-02 20:19:00,2020-06-02 21:19:00,1,all good,2020,6,2,21,19,0,2020-06-02 10:19:00,10,40
MLO,2020,6,2,20,31,0,1591129860,1591129860,1591129860,2020.42036847298,3600,1.88981e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915163,1,1356,3751556,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-02 20:31:00,2020-06-02 20:31:00,2020-06-02 21:31:00,1,all good,2020,6,2,21,31,0,2020-06-02 10:31:00,10,40
MLO,2020,6,16,20,37,0,1592339820,1592339820,1592339820,2020.45863122344,3600,1.88327e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915164,1,1357,3751557,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-16 20:37:00,2020-06-16 20:37:00,2020-06-16 21:37:00,1,all good,2020,6,16,21,37,0,2020-06-16 10:37:00,10,40
MLO,2020,6,16,20,48,0,1592340480,1592340480,1592340480,2020.45865209472,3600,1.88434e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915165,1,1358,3751558,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-16 20:48:00,2020-06-16 20:48:00,2020-06-16 21:48:00,1,all good,2020,6,16,21,48,0,2020-06-16 10:48:00,10,40
MLO,2020,6,30,20,38,0,1593549480,1593549480,1593549480,2020.49688448695,3600,1.8722e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915166,1,1359,3751559,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-30 20:38:00,2020-06-30 20:38:00,2020-06-30 21:38:00,1,all good,2020,6,30,21,38,0,2020-06-30 10:38:00,10,40
MLO,2020,6,30,20,51,0,1593550260,1593550260,1593550260,2020.49690915301,3600,1.87114e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915167,1,1360,3751560,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-06-30 20:51:00,2020-06-30 20:51:00,2020-06-30 21:51:00,1,all good,2020,6,30,21,51,0,2020-06-30 10:51:00,10,40
MLO,2020,7,14,20,9,0,1594757340,1594757340,1594757340,2020.53508082878,3600,1.87253e-06,,,1,19.536,-155.576,3435,3397,38,...,,"","","",44915168,1,1361,3751561,ch4_mlo_surface-flask_2_representative.txt,flask,"Mauna Loa, Hawaii",United States,3397,surface-flask,CSIRO,WMO CH4 X2004A,Altitude (in meters above sea level). See provider_comment if available.,-10,38,0,38,63,,"",2020-07-14 20:09:00,2020-07-14 20:09:00,2020-07-14 21:09:00,1,all good,2020,7,14,21,9,0,2020-07-14 10:09:00,10,40
